subject	subject_label	predicate	object	object_label	property_values	predicate_label	negated	publications	primary_knowledge_source	aggregator_knowledge_source	subject_closure	subject_closure_label	object_closure	object_closure_label
NCBIGene:716	None	None	HP:0000006	None		None	None		None	None				
NCBIGene:716	None	None	HP:0002650	None		None	None		None	None				
NCBIGene:716	None	None	HP:0012115	None		None	None		None	None				
NCBIGene:716	None	None	HP:0006349	None		None	None		None	None				
NCBIGene:716	None	None	HP:0006323	None		None	None		None	None				
NCBIGene:716	None	None	HP:0006308	None		None	None		None	None				
NCBIGene:716	None	None	HP:0002725	None		None	None		None	None				
NCBIGene:716	None	None	HP:0034518	None		None	None		None	None				
NCBIGene:716	None	None	HP:0034517	None		None	None		None	None				
NCBIGene:716	None	None	HP:0001034	None		None	None		None	None				
NCBIGene:716	None	None	HP:0001030	None		None	None		None	None				
NCBIGene:716	None	None	HP:0001015	None		None	None		None	None				
NCBIGene:716	None	None	HP:0001075	None		None	None		None	None				
NCBIGene:716	None	None	HP:0000691	None		None	None		None	None				
NCBIGene:716	None	None	HP:0004322	None		None	None		None	None				
NCBIGene:716	None	None	HP:0003003	None		None	None		None	None				
NCBIGene:716	None	None	HP:0005692	None		None	None		None	None				
NCBIGene:716	None	None	HP:0000704	None		None	None		None	None				
NCBIGene:716	None	None	HP:0000704	None		None	None		None	None				
NCBIGene:716	None	None	HP:0000872	None		None	None		None	None				
NCBIGene:716	None	None	HP:0030816	None		None	None		None	None				
NCBIGene:716	None	None	HP:0000978	None		None	None		None	None				
NCBIGene:716	None	None	HP:0000974	None		None	None		None	None				
NCBIGene:716	None	None	HP:0000974	None		None	None		None	None				
NCBIGene:716	None	None	HP:0000987	None		None	None		None	None				
NCBIGene:716	None	None	HP:0002829	None		None	None		None	None				
NCBIGene:716	None	None	HP:0000212	None		None	None		None	None				
NCBIGene:716	None	None	HP:0000225	None		None	None		None	None				
NCBIGene:716	None	None	HP:0001537	None		None	None		None	None				
NCBIGene:716	None	None	HP:0000347	None		None	None		None	None				
NCBIGene:716	None	None	HP:0005339	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0001187	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0001290	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0001290	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0100807	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0001250	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0001252	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0001263	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0006109	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0001373	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0001373	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0001373	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0001385	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0001388	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0001387	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0001382	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0001382	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0001382	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0000023	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0000023	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0000023	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0000015	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0002691	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0008873	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0008873	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0006201	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0002659	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0002673	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0000007	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0000006	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0000006	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0000006	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0000006	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0000006	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0000006	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0002650	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0002650	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0002650	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0002650	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0002645	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0002645	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0002645	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0002645	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0002644	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0002616	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0008921	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0005005	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0500041	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0002757	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0002757	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0002757	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0002757	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0002751	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0002007	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0003307	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0003321	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0100541	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0100550	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0002094	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0002092	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0002093	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0010444	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0010444	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0002194	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0010547	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0010529	None		None	None		None	None				
NCBIGene:1278	None	None	HP:0003577	None		None	None		None	None				
